chip,ladder,count
0,0,1.24729e+08
0,1,1.76219e+08
0,2,1.34096e+08
0,3,1.29803e+08
0,4,1.22541e+08
0,5,1.86941e+08
0,6,1.31485e+08
0,7,1.29726e+08
0,8,1.96689e+08
0,9,1.84469e+08
0,10,1.35572e+08
0,11,1.2816e+08
0,12,1.79113e+08
0,13,1.38773e+08
1,0,1.40323e+08
1,1,1.94143e+08
1,2,1.7152e+08
1,3,1.45672e+08
1,4,1.31694e+08
1,5,2.02369e+08
1,6,1.4419e+08
1,7,1.41229e+08
1,8,2.16621e+08
1,9,2.14134e+08
1,10,1.4953e+08
1,11,1.36421e+08
1,12,1.95519e+08
1,13,1.48292e+08
2,0,1.97127e+08
2,1,2.78538e+08
2,2,1.92831e+08
2,3,1.3738e+08
2,4,0
2,5,1.34794e+08
2,6,1.41277e+08
2,7,2.03422e+08
2,8,1.89404e+08
2,9,1.93677e+08
2,10,1.33555e+08
2,11,1.3919e+08
2,12,1.30844e+08
2,13,1.36204e+08
3,0,1.79505e+08
3,1,1.87584e+08
3,2,1.7594e+08
3,3,1.28204e+08
3,4,1.3238e+08
3,5,1.25031e+08
3,6,1.32019e+08
3,7,1.78595e+08
3,8,1.69351e+08
3,9,1.7343e+08
3,10,1.15038e+08
3,11,1.32569e+08
3,12,1.23976e+08
3,13,7.34683e+07
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
7,13,0
