run,segment,file,value,error,weight
66522,-1,data/run66522.root,0.0785206,8.58725e-05,1.34774e+08
66684,-1,data/run66684.root,0.0780455,1.56578e-05,4.05401e+09
66685,-1,data/run66685.root,0.067783,4.04912e-05,6.07126e+08
68520,-1,data/run68520.root,0.0360521,8.26517e-06,1.46195e+10
68522,-1,data/run68522.root,0.0772353,7.36125e-06,1.83442e+10
68523,-1,data/run68523.root,0.0801548,1.18636e-05,7.05937e+09
68531,-1,data/run68531.root,0.0771007,7.5161e-06,1.75965e+10
68548,-1,data/run68548.root,0.0369056,2.6049e-05,1.47173e+09
68550,-1,data/run68550.root,0.0356043,1.31091e-05,5.8117e+09
68554,-1,data/run68554.root,0.0780748,7.27847e-06,1.87613e+10
68584,-1,data/run68584.root,0.077219,7.54974e-06,1.74397e+10
68589,-1,data/run68589.root,0.0311478,7.88163e-06,1.60822e+10
68604,-1,data/run68604.root,0.0777527,9.21437e-06,1.17067e+10
