run,segment,file,value,error,weight
66522,-1,data/run66522.root,11176.6,0,7.72373e+07
66684,-1,data/run66684.root,523027,0,2.32741e+09
66685,-1,data/run66685.root,2.00769e+06,0,3.82974e+09
68520,-1,data/run68520.root,3.58146e+06,0,7.69202e+09
68522,-1,data/run68522.root,2.11512e+06,0,1.00357e+10
68523,-1,data/run68523.root,1.59494e+06,0,5.41497e+09
68531,-1,data/run68531.root,938474,0,9.72773e+09
68548,-1,data/run68548.root,387765,0,7.74088e+08
68550,-1,data/run68550.root,276398,0,3.05939e+09
68554,-1,data/run68554.root,2.05594e+06,0,1.02381e+10
68584,-1,data/run68584.root,1.33652e+06,0,9.48489e+09
68589,-1,data/run68589.root,855231,0,8.42984e+09
68604,-1,data/run68604.root,1.03332e+06,0,6.26335e+09
