run,segment,file,value,error,weight
66522,-1,data/run66522.root,0.0117383,0,7.72373e+07
66684,-1,data/run66684.root,0.0171485,0,2.32741e+09
66685,-1,data/run66685.root,0.0978684,0,3.82974e+09
68520,-1,data/run68520.root,0.0154918,0,7.69202e+09
68522,-1,data/run68522.root,0.012504,0,1.00357e+10
68523,-1,data/run68523.root,0.0719838,0,5.41497e+09
68531,-1,data/run68531.root,0.00996021,0,9.72773e+09
68548,-1,data/run68548.root,0.0156105,0,7.74088e+08
68550,-1,data/run68550.root,0.00952738,0,3.05939e+09
68554,-1,data/run68554.root,0.0101132,0,1.02381e+10
68584,-1,data/run68584.root,0.0117255,0,9.48489e+09
68589,-1,data/run68589.root,0.00913504,0,8.42984e+09
68604,-1,data/run68604.root,0.0114507,0,6.26335e+09
66522,-1,data/run66522.root,0,0,77237279
66522,-1,data/run66522.root,nan,0,77237279
66684,-1,data/run66684.root,0,0,2327414886
66684,-1,data/run66684.root,nan,0,2327414886
66685,-1,data/run66685.root,0,0,3829736715
66685,-1,data/run66685.root,nan,0,3829736715
68520,-1,data/run68520.root,0,0,7692018202
68520,-1,data/run68520.root,nan,0,7692018202
68522,-1,data/run68522.root,0,0,10035681764
68522,-1,data/run68522.root,nan,0,10035681764
68523,-1,data/run68523.root,0,0,5414974830
68523,-1,data/run68523.root,nan,0,5414974830
68531,-1,data/run68531.root,0,0,9727731380
68531,-1,data/run68531.root,nan,0,9727731380
68548,-1,data/run68548.root,0,0,774088115
68548,-1,data/run68548.root,nan,0,774088115
68550,-1,data/run68550.root,0,0,3059393967
68550,-1,data/run68550.root,nan,0,3059393967
68554,-1,data/run68554.root,0,0,10238113031
68554,-1,data/run68554.root,nan,0,10238113031
68584,-1,data/run68584.root,0,0,9484888082
68584,-1,data/run68584.root,nan,0,9484888082
68589,-1,data/run68589.root,0,0,8429837435
68589,-1,data/run68589.root,nan,0,8429837435
68604,-1,data/run68604.root,0,0,6263350925
68604,-1,data/run68604.root,nan,0,6263350925
66522,-1,data/run66522.root,0,0,77237279
66684,-1,data/run66684.root,0,0,2327414886
66685,-1,data/run66685.root,0,0,3829736715
68520,-1,data/run68520.root,0,0,7692018202
68522,-1,data/run68522.root,0,0,10035681764
68523,-1,data/run68523.root,0,0,5414974830
68531,-1,data/run68531.root,0,0,9727731380
68548,-1,data/run68548.root,0,0,774088115
68550,-1,data/run68550.root,0,0,3059393967
68554,-1,data/run68554.root,0,0,10238113031
68584,-1,data/run68584.root,0,0,9484888082
68589,-1,data/run68589.root,0,0,8429837435
68604,-1,data/run68604.root,0,0,6263350925
