run,segment,file,value,error,weight
66522,-1,data/run66522.root,0.125,0,1.15499e+07
66684,-1,data/run66684.root,0.125,0,3.45481e+08
66685,-1,data/run66685.root,0.125,0,5.66567e+08
68520,-1,data/run68520.root,0.075,0,1.21482e+09
68522,-1,data/run68522.root,0.125,0,1.50546e+09
68523,-1,data/run68523.root,0.125,0,7.8399e+08
68531,-1,data/run68531.root,0.125,0,1.40046e+09
68548,-1,data/run68548.root,0.075,0,1.25416e+08
68550,-1,data/run68550.root,0.125,0,4.35191e+08
68554,-1,data/run68554.root,0.125,0,1.57593e+09
68584,-1,data/run68584.root,0.125,0,1.40744e+09
68589,-1,data/run68589.root,0.125,0,1.23095e+09
68604,-1,data/run68604.root,0.125,0,9.49023e+08
