run,segment,file,value,error,weight
66522,-1,data/run66522.root,328.898,5.82664e-08,8.60792e+07
66684,-1,data/run66684.root,329.048,8.85981e-09,5.29565e+08
66685,-1,data/run66685.root,328.886,4.63003e-09,7.10228e+08
68522,-1,data/run68522.root,329.843,1.06986e-08,5.80378e+08
68523,-1,data/run68523.root,329.788,1.68452e-08,3.84812e+08
68548,-1,data/run68548.root,330.061,1.46085e-07,4.38464e+07
68550,-1,data/run68550.root,329.957,3.54413e-08,1.85839e+08
68554,-1,data/run68554.root,329.753,1.01011e-08,6.28129e+08
68584,-1,data/run68584.root,329.725,1.05339e-08,6.16985e+08
68589,-1,data/run68589.root,329.752,1.0788e-08,6.20537e+08
68604,-1,data/run68604.root,330.137,1.34953e-08,4.67384e+08
