run,segment,file,value,error,weight
66522,-1,data/run66522.root,328.958,5.93617e-08,8.73348e+07
66684,-1,data/run66684.root,329.07,8.67879e-09,5.68149e+08
66685,-1,data/run66685.root,328.916,3.69994e-09,1.08153e+09
68522,-1,data/run68522.root,329.797,1.36989e-08,4.69121e+08
68523,-1,data/run68523.root,329.707,2.14613e-08,2.97092e+08
68548,-1,data/run68548.root,330.056,1.79593e-07,3.35368e+07
68550,-1,data/run68550.root,329.94,4.3731e-08,1.3952e+08
68554,-1,data/run68554.root,329.728,1.26606e-08,4.78222e+08
68584,-1,data/run68584.root,329.615,1.24241e-08,4.82407e+08
68589,-1,data/run68589.root,329.578,1.2746e-08,4.28506e+08
68604,-1,data/run68604.root,330.096,1.64509e-08,3.62664e+08
