run,segment,file,value,error,weight
66522,-1,data/run66522.root,4.41994e+07,0,1
66684,-1,data/run66684.root,4.0274e+08,0,1
66685,-1,data/run66685.root,8.23667e+08,0,1
68520,-1,data/run68520.root,nan,0,1
68522,-1,data/run68522.root,5.0353e+09,0,1
68523,-1,data/run68523.root,2.9326e+09,0,1
68531,-1,data/run68531.root,nan,0,1
68548,-1,data/run68548.root,1.18956e+08,0,1
68550,-1,data/run68550.root,1.04447e+09,0,1
68554,-1,data/run68554.root,5.32906e+09,0,1
68584,-1,data/run68584.root,4.95839e+09,0,1
68589,-1,data/run68589.root,4.22959e+09,0,1
68604,-1,data/run68604.root,3.30314e+09,0,1
